,title,author,subject,desc,certificate_price,enrollment,length_by_week,difficulty
631,Pensamento crítico: tomada de decisões fundamentadas  ,TecdeMonterreyX,Business & Management,"A tomada de decisões no mundo de hoje, um mundo em crescente complexidade, com amplas mudanças e incertezas, cria a necessidade de abordagens que permitam discernir os problemas reais e as causas que os originam. Identificar quais são esses problemas, na maioria dos casos, exige desafiar as suposições nas quais baseamos nossos julgamentos, em relação ao mundo e suas realidades. ",149.00,5047,4,0
632,"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods  ",ImperialX,Math,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,7006,7,1
633,Visualización de Datos y Storytelling  ,TecdeMonterreyX,Data Analysis & Statistics,"Digamos que necesitas comprender big data; miles o incluso millones de filas de datos, y tienes poco tiempo para hacerlo. los datos pueden provenir de tu equipo, en cuyo caso tal vez ya estes familiarizado con lo que estas midiendo y de los resultados que se esperan. O puede provenir de otro equipo, o tal vez de varios equipos a la vez, y estar completamente familiarizado.",49.00,6295,4,1
634,How to Design a Successful Business Model  ,DelftX,Business & Management,"Do you want to start or grow your own business, go international, or avoid bankruptcy?",99.00,33944,8,0
635,Principios de Análisis e Instrumentos Financieros  ,AnahuacX,Economics & Finance,"Considerando las necesidades del contexto laboral de los involucrados en la toma de decisiones financiera-operativas, este curso está diseñado para que el participante comprenda la información financiera que proveen los estados financieros y realice el análisis adecuado e integral del desempeño, en lo que respecta a la inversión, financiamiento y operación de la empresa. De este modo, el curso se integra por 5 módulos:",49.00,5145,5,1
636,Databases: Modeling and Theory  ,StanfordOnline,Computer Science,About the Database Series of Courses,50.00,0,2,0
637,Aprendizaje y Enseñanza en la Era Digital  ,GalileoX,Education & Teacher Training,"El curso “ Aprendizaje y enseñanza en la era digital ” es ideal para todos aquellos que desean aprender más sobre el potencial de la tecnología en entornos de enseñanza virtual formal e informal, dándoles lo oportunidad de contar con los elementos necesarios para pasar de la idea a la implementación.",49.00,17258,4,1
638,Análisis e interpretación de información económica y financiera  ,JaverianaX,Economics & Finance,"La globalización de los mercados financieros, exige el cumplimiento de principios y estándares, para agilizar los procesos y hacer más eficiente la actividad de los mismos. De otra parte, el aumento de velocidad y al acceso a la información, replanteó las teorías de los que consideraban las asimetrías cómo la causa de la falta de eficiencia de los mercados financieros. Entonces, la adecuada lectura que se haga de la información estandarizada y su posterior análisis, es la herramienta clave, para que, al interior de una economía de mercado, los diferentes agentes y grupos de interés, tomen decisiones de una manera acertada y responsable. ",49.00,6446,5,1
639,Music Technology Foundations  ,AdelaideX,Computer Science,Want to produce and record your own music? ,169.00,34912,6,0
640,Logística del futuro  ,logycaX,Engineering,"En este curso en línea se profundizarán temas relacionados con avances, desarrollos e implementaciones en el sector industrial.",29.00,5851,5,0
641,PyTorch Basics for Machine Learning  ,IBM,Data Analysis & Statistics,This course is the first part in a two part course and will teach you the fundamentals of Pytorch while providing the necessary prerequisites you need before you build deep learning models.,39.00,0,5,0
642,Autonomous Mobile Robots  ,ETHx,Computer Science,"Robots are rapidly evolving from factory workhorses, which are physically bound to their work-cells, to increasingly complex machines capable of performing challenging tasks in our daily environment. The objective of this course is to provide the basic concepts and algorithms required to develop mobile robots that act autonomously in complex environments. The main emphasis is put on mobile robot locomotion and kinematics, environment perception, probabilistic map based localization and mapping, and motion planning. The lectures and exercises of this course introduce several types of robots such as wheeled robots, legged robots and drones.",50.00,62735,15,1
643,Agile Mindset Introduction  ,Rolls-Royce,Data Analysis & Statistics,"Having an ‘agile mindset’ is all about embracing a mentality or approach that believes in adapting to change, learning through failures and encouraging feedback to bring in consistent improvement. Agile attitude is all about learning and continual improvement to attain milestones in business.",49.00,0,2,0
644,Emprendimiento tecnológico  ,UC3Mx,Business & Management,"El panorama tecnológico abre innumerables oportunidades de negocio que, para ser identificadas y aprovechadas con éxito, requieren de formación específica. El vertiginoso avance de la tecnología hace que los mercados se transformen y, con ello, la forma de responder y acceder a esos mercados, y en definitiva de hacer negocios. Por ello, el conocimiento y formación en emprendimiento tecnológico y digital se hacen cada vez más necesarios y útiles. ",29.00,10060,6,1
645,Técnicas Cuantitativas y Cualitativas para la Investigación  ,UPValenciaX,Data Analysis & Statistics,"El curso que se propone es ideal para investigadores y alumnos que se encuentren cursando trabajos de fin de grado, trabajos de fin de máster o realizando tesis, así como todos aquellos del área de la administración que quieran realizar un análisis cuantitativo o cualitativo en sus estudios. El curso pretende acercar al alumno al método científico y, en concreto, cómo éste se viene aplicando al estudio y análisis de los métodos de casos.",65.00,30342,6,1
